Tsr,e,r,M
0.2,0.3125,0.745762711864407,0.6431073876618427
0.30000000000000004,0.3125,0.745762711864407,0.6431073876618427
0.4000000000000001,0.3125,0.745762711864407,0.6431073876618427
0.5000000000000001,0.3125,0.745762711864407,0.6431073876618427
0.6000000000000001,0.3125,0.745762711864407,0.6431073876618427
0.7000000000000002,0.3125,0.745762711864407,0.6431073876618427
0.8000000000000003,0.3125,0.745762711864407,0.6431073876618427
0.2,0.21875,0.9322033898305087,0.8662604722010663
0.30000000000000004,0.21875,0.9322033898305087,0.8662604722010663
0.4000000000000001,0.21875,0.9322033898305087,0.8662604722010663
0.5000000000000001,0.21875,0.9322033898305087,0.8662604722010663
0.6000000000000001,0.21875,0.9322033898305087,0.8662604722010663
0.7000000000000002,0.21875,0.9322033898305087,0.8662604722010663
0.8000000000000003,0.21875,0.9322033898305087,0.8662604722010663
0.2,0.375,0.2372881355932206,0.15628332063975492
0.30000000000000004,0.375,0.2372881355932206,0.15628332063975492
0.4000000000000001,0.375,0.2372881355932206,0.15628332063975492
0.5000000000000001,0.375,0.2372881355932206,0.15628332063975492
0.6000000000000001,0.375,0.2372881355932206,0.15628332063975492
0.7000000000000002,0.375,0.2372881355932206,0.15628332063975492
0.8000000000000003,0.375,0.2372881355932206,0.15628332063975492
0.2,0.78125,0.0,0.17319116527037437
0.30000000000000004,0.78125,0.0,0.17319116527037437
0.4000000000000001,0.78125,0.0,0.17319116527037437
0.5000000000000001,0.78125,0.0,0.17319116527037437
0.6000000000000001,0.78125,0.0,0.17319116527037437
0.7000000000000002,0.78125,0.0,0.17319116527037437
0.8000000000000003,0.78125,0.0,0.17319116527037437
0.2,0.5625,0.08474576271186463,0.18202589489718335
0.30000000000000004,0.5625,0.08474576271186463,0.18202589489718335
0.4000000000000001,0.5625,0.08474576271186463,0.18202589489718335
0.5000000000000001,0.5625,0.08474576271186463,0.18202589489718335
0.6000000000000001,0.5625,0.08474576271186463,0.18202589489718335
0.7000000000000002,0.5625,0.08474576271186463,0.18202589489718335
0.8000000000000003,0.5625,0.08474576271186463,0.18202589489718335
0.2,0.75,0.6101694915254239,0.5392231530845422
0.30000000000000004,0.75,0.6101694915254239,0.5392231530845422
0.4000000000000001,0.75,0.6101694915254239,0.5392231530845422
0.5000000000000001,0.75,0.6101694915254239,0.5392231530845422
