% Model,BatchDinamico.mph
% Version,COMSOL 5.5.0.292
% Date,"May 15 2021, 13:31"
% Table,Tabla 2 - Torque
% Tiempo (s),"TSR=0.2, Torque_1_2 (N*m)","TSR=0.3, Torque_1_2 (N*m)","TSR=0.4, Torque_1_2 (N*m)","TSR=0.5, Torque_1_2 (N*m)"
0,0.3755591909103373,-0.3424871089747832,-0.3901008555844925,0.7173897801140434
0.02617993877991494,0.6396290885903986,0.5213751005394291,0.39962905192739373,0.2640850806787809
0.05235987755982988,0.56599156102301,0.38097595725342503,0.1714349567592761,-0.020042474811200695
0.07853981633974483,0.43648471950803014,0.18069286949912955,-0.06366703029011989,-0.23028936017893564
0.10471975511965977,0.2986730081714317,0.013690117198865814,-0.18239960092747398,-0.19866085468580497
0.1308996938995747,0.1767587431382811,-0.07448158646719139,-0.16807940438373614,-0.026567921373990666
0.15707963267948966,0.08273505439120876,-0.09079410645486874,-0.062274686602645624,0.20747255461114825
0.18325957145940458,0.01686075450171398,-0.051392437550192294,0.11002875502217949,0.5526265592203592
0.20943951023931953,-0.0176160125560485,0.006299129006155979,0.36434737916492393,0.8710453874336301
0.23561944901923448,-0.025873573555485918,0.08113255582424872,0.6815748291529209,0.8933407800412753
0.2617993877991494,-0.014682656752975642,0.2169178415774939,0.9431130508226089,0.5954746591271316
0.28797932657906433,0.006508269576270043,0.4442758584747931,0.9380582298437926,0.25397073008231597
0.3141592653589793,0.028092524877525116,0.7354013125393334,0.7508417989722562,-0.06545188135424196
0.34033920413889424,0.05066993187350072,0.9314215073290715,0.5032586603432374,-0.24589486072135774
0.36651914291880916,0.08969915325100317,0.9669891560893931,0.23975607354878076,-0.2291211571563945
0.39269908169872414,0.18796421581810663,0.9166236309504385,-0.0020064665883720023,-0.03277665924887185
0.41887902047863906,0.37012547634012993,0.7936337480126281,-0.17162632081874804,0.2785337719566477
0.445058959258554,0.5850395202740921,0.629282674203519,-0.20278488511573203,0.5772628481301568
0.47123889803846897,0.7659716175431577,0.4356317057586655,-0.09820010300002169,0.8013017896488311
0.4974188368183839,0.9064331424422187,0.2220511297402823,0.07305114873260726,0.7887720796636725
0.5235987755982988,0.9986124894290785,0.035997191884818557,0.2670486198251294,0.5017352828696953
0.5497787143782138,1.0404842691102614,-0.09797721924937776,0.4965057710105977,0.18592063122032687
0.5759586531581287,1.0271752267925012,-0.14556017430789392,0.7896311922022643,-0.10231173163091023
0.6021385919380436,0.9668890266543896,-0.10528943566703691,0.9084578562119516,-0.2589563675608221
0.6283185307179586,0.8680243960419453,-0.022569318596114718,0.7903937413428571,-0.22066318729860934
