% Model,BatchDinamico.mph
% Version,COMSOL 5.5.0.292
% Date,"May 14 2021, 16:43"
% Table,Tabla 1 - Torque
% t,"TSR=0.2, Torque_1_2 (N*m)","TSR=0.3, Torque_1_2 (N*m)","TSR=0.4, Torque_1_2 (N*m)","TSR=0.5, Torque_1_2 (N*m)","TSR=0.6, Torque_1_2 (N*m)","TSR=0.7, Torque_1_2 (N*m)","TSR=0.8, Torque_1_2 (N*m)"
0,-0.5091732603428785,-2.1790738134634253,-3.1171910430450396,-3.3032995409334376,-2.5198272412358804,-2.9127852042286335,-2.6702170884091387
0.006544984694978735,0.5397678296374453,0.4288867668428178,0.3255255282905001,0.19554929145539024,-0.028131470944681602,-0.19617443340682428,-0.36036127398230633
0.01308996938995747,0.4438229846361452,0.3612202565233298,0.261108262442439,0.13351361837254005,-0.07968085848810169,-0.27646594495198995,-0.4692703283711239
0.019634954084936207,0.2964855283410971,0.23952846769075764,0.15533928078856118,0.03192269047334828,-0.1531851396222208,-0.3692167180172521,-0.573902077193915
0.02617993877991494,0.15593187217131166,0.10228133645043336,0.013826339185819103,-0.07982259102141964,-0.21804398913478984,-0.43785810377073675,-0.6568904759064538
0.032724923474893676,0.03660194027836838,-0.0283810728947691,-0.1103881548907919,-0.18881882864388544,-0.2844873029689261,-0.49004949093560013,-0.7117688135860805
0.039269908169872414,-0.0603840390480912,-0.1361486742624457,-0.21425654047680465,-0.284141234650912,-0.35068803495954537,-0.5225023936912556,-0.7506675540108744
0.045814892864851145,-0.12737285597869297,-0.20879006514222231,-0.28359030011629593,-0.3398426364850249,-0.39688645810445333,-0.5346706632648632,-0.7462030486503659
0.05235987755982988,-0.16453848287673778,-0.2425690247142709,-0.2977288868262957,-0.3566648026374013,-0.3997309084424968,-0.5277283295408826,-0.7095451393633598
0.05890486225480862,-0.16556478130296481,-0.23838085648001806,-0.28491494608319656,-0.33804005494155953,-0.38273384225923224,-0.474176127893696,-0.655619035478747
0.06544984694978735,-0.13854692508698796,-0.20550339055082056,-0.23746211146371232,-0.2878874073144313,-0.33317077525109084,-0.39458282383867693,-0.5785351398106497
0.07199483164476608,-0.084703443796451,-0.140756852316141,-0.15737936827399202,-0.20683941901650943,-0.25313007979938673,-0.3079763837963926,-0.47612814803570175
