% Model,CFD_LiveLink_RotMach_Savonius_v3_1.mph
% Version,COMSOL 5.5.0.292
% Date,"May 5 2021, 04:40"
% Table,Tabla 5 - Torque rotor
% Tiempo (s),"TSR=0.2, Torque_1_2 (N*m)","TSR=0.3, Torque_1_2 (N*m)","TSR=0.4, Torque_1_2 (N*m)","TSR=0.5, Torque_1_2 (N*m)","TSR=0.6, Torque_1_2 (N*m)","TSR=0.7, Torque_1_2 (N*m)","TSR=0.8, Torque_1_2 (N*m)"
0,-0.971491843139372,-1.6677501266993708,-1.2941719077746896,1.7064463154370628,0.5291312076561852,2.7141237681366306,3.7145770135281424
0.02617993877991494,0.20998661546802655,0.09647538053189242,-0.00970832278995859,-0.10987313984814584,-0.2273326422212375,-0.36529969639090676,-0.4416736142342424
0.05235987755982988,0.14307496177856838,0.014750269621618406,-0.09533028359731688,-0.14990609934407728,-0.2114741011505039,-0.26936667201710324,-0.2876959581467654
0.07853981633974483,0.06797480162708758,-0.06009601195411851,-0.13295874479827408,-0.12164539317793494,-0.08594172362253394,-0.027422577597679965,0.044563732175169346
0.10471975511965977,0.004495287250131597,-0.09280548532909916,-0.08589841806141574,-0.010783825122309354,0.10523212461772423,0.2654535995372201,0.3940198884617166
0.1308996938995747,-0.029555572369668992,-0.0752404952147071,0.0057082065560532524,0.16974708447233391,0.3981275031175057,0.5654614960325279,0.5772176128235421
0.15707963267948966,-0.042169344031050326,-0.024383610213745133,0.14385371408603734,0.44357056590670957,0.6700098644856181,0.6427508015451702,0.2523113658345417
0.18325957145940458,-0.03739904311026199,0.03680304010976365,0.3581610497903339,0.7204022155476906,0.7138534094992105,0.24000263660454868,-0.2578873349728605
0.20943951023931953,-0.019121983935754594,0.1340206196317749,0.6401014163313617,0.8273957644772553,0.3631827783473932,-0.20607986606739398,-0.37281817425211927
0.23561944901923448,0.005702014754082885,0.31125800492439293,0.8646575727937857,0.6010811376942786,-0.05534955626046523,-0.3241651003729345,-0.05688591172909477
0.2617993877991494,0.030898399814452693,0.5748166655852881,0.8730593870848988,0.23953649867679055,-0.25969315448726565,-0.11381562639952175,0.4227184723066103
