Tsr,e,r,M
0.2,0.21875,0.5423728813559321,0.535415079969539
0.30000000000000004,0.21875,0.5423728813559321,0.535415079969539
0.4000000000000001,0.21875,0.5423728813559321,0.535415079969539
0.5000000000000001,0.21875,0.5423728813559321,0.535415079969539
0.6000000000000001,0.21875,0.5423728813559321,0.535415079969539
0.7000000000000002,0.21875,0.5423728813559321,0.535415079969539
0.8000000000000003,0.21875,0.5423728813559321,0.535415079969539
0.2,0.03125,0.8305084745762712,0.7771515613099744
0.30000000000000004,0.03125,0.8305084745762712,0.7771515613099744
0.4000000000000001,0.03125,0.8305084745762712,0.7771515613099744
0.5000000000000001,0.03125,0.8305084745762712,0.7771515613099744
0.6000000000000001,0.03125,0.8305084745762712,0.7771515613099744
0.7000000000000002,0.03125,0.8305084745762712,0.7771515613099744
0.8000000000000003,0.03125,0.8305084745762712,0.7771515613099744
0.2,0.65625,0.593220338983051,0.6312261995430326
0.30000000000000004,0.65625,0.593220338983051,0.6312261995430326
0.4000000000000001,0.65625,0.593220338983051,0.6312261995430326
0.5000000000000001,0.65625,0.593220338983051,0.6312261995430326
0.6000000000000001,0.65625,0.593220338983051,0.6312261995430326
0.7000000000000002,0.65625,0.593220338983051,0.6312261995430326
0.8000000000000003,0.65625,0.593220338983051,0.6312261995430326
